TimeNav,Azimuth,GaragNumb,Graph,Latitude,Longitude,Marsh,Speed,TimeNav,dist,dist_delta
2020-11-08 12:36:00,111,2775,1,55.822157999999995,49.033012,22,0,2020-11-08 12:36:00,0.0943388302079254,0.0
2020-11-08 12:37:00,111,2775,1,55.822157999999995,49.033012,22,0,2020-11-08 12:37:00,0.0943388302079254,0.0
2020-11-08 12:37:00,111,2775,1,55.822157999999995,49.033012,22,0,2020-11-08 12:37:00,0.0943388302079254,0.0
2020-11-08 12:38:00,282,2775,1,55.82233000000001,49.031967,22,3,2020-11-08 12:38:00,0.09539099859001403,0.0010521683820886307
2020-11-08 12:38:00,282,2775,1,55.82233000000001,49.031967,22,3,2020-11-08 12:38:00,0.09539099859001403,0.0
2020-11-08 12:39:00,282,2775,1,55.82233000000001,49.031967,22,0,2020-11-08 12:39:00,0.09539099859001403,0.0
2020-11-08 12:39:00,282,2775,1,55.82233000000001,49.031967,22,0,2020-11-08 12:39:00,0.09539099859001403,0.0
2020-11-08 12:40:00,12,2775,1,55.824993000000006,49.032295,22,37,2020-11-08 12:40:00,0.0958394917818366,0.000448493191822566
2020-11-08 12:40:00,12,2775,1,55.824993000000006,49.032295,22,37,2020-11-08 12:40:00,0.0958394917818366,0.0
2020-11-08 12:41:00,103,2775,1,55.825807999999995,49.033418,22,4,2020-11-08 12:41:00,0.09501882441390289,0.0008206673679337084
2020-11-08 12:41:00,103,2775,1,55.825807999999995,49.033418,22,4,2020-11-08 12:41:00,0.09501882441390289,0.0
2020-11-08 12:42:00,103,2775,1,55.825807999999995,49.033418,22,0,2020-11-08 12:42:00,0.09501882441390289,0.0
2020-11-08 12:42:00,103,2775,1,55.825807999999995,49.033418,22,0,2020-11-08 12:42:00,0.09501882441390289,0.0
2020-11-08 12:43:00,103,2775,1,55.825807999999995,49.033418,22,0,2020-11-08 12:43:00,0.09501882441390289,0.0
2020-11-08 12:43:00,103,2775,1,55.825807999999995,49.033418,22,0,2020-11-08 12:43:00,0.09501882441390289,0.0
2020-11-08 12:44:00,101,2775,1,55.825687,49.034453000000006,22,7,2020-11-08 12:44:00,0.09399770319001924,0.0010211212238836476
2020-11-08 12:44:00,101,2775,1,55.825687,49.034453000000006,22,7,2020-11-08 12:44:00,0.09399770319001924,0.0
2020-11-08 12:45:00,112,2775,1,55.82484,49.041865,22,27,2020-11-08 12:45:00,0.08670607851817448,0.007291624671844757
2020-11-08 12:45:00,112,2775,1,55.82484,49.041865,22,27,2020-11-08 12:45:00,0.08670607851817448,0.0
2020-11-08 12:46:00,15,2775,1,55.826302,49.043033,22,8,2020-11-08 12:46:00,0.08610300738069297,0.000603071137481509
2020-11-08 12:46:00,15,2775,1,55.826302,49.043033,22,8,2020-11-08 12:46:00,0.08610300738069297,0.0
2020-11-08 12:47:00,51,2775,1,55.830158,49.047977,22,50,2020-11-08 12:47:00,0.08298589301802647,0.0031171143626664982
2020-11-08 12:47:00,51,2775,1,55.830158,49.047977,22,50,2020-11-08 12:47:00,0.08298589301802647,0.0
2020-11-08 12:48:00,62,2775,1,55.831727,49.052938,22,8,2020-11-08 12:48:00,0.07917336831283864,0.0038125247051878364
2020-11-08 12:48:00,62,2775,1,55.831727,49.052938,22,8,2020-11-08 12:48:00,0.07917336831283864,0.0
2020-11-08 12:49:00,85,2775,1,55.832818,49.057932,22,30,2020-11-08 12:49:00,0.07526503946056297,0.003908328852275669
